property_id,account_number,name,address1,city,state_prov,postal_code,primary_contact_id
26,21739-0,"Littleton Garage Door Service","Scottwood","Snoqualamish","WA",98215,
23,8767-000,"Seniors in Community Living Inc","Greyson","Snoqualamish","WA",98215,10000085
45,22096-000,"Rainbow Rebuilders","Abbotsford","Snoqualamish","WA",98215,10000077
68,22782-000,"Storewise Software Inc","Somerset","Snoqualamish","WA",98215,
69,22782-000,"Lakewood Family Medical Clinic Pc","Champions","Snoqualamish","WA",98215,10000109
82,5081-000,"Polymedica Industries Inc","Hornsea","Snoqualamish","WA",98215,10000086
90,5644-000,"Sheridan Sanitation District #2","Ryan Meadow","Snoqualamish","WA",98215,
97,5684-000,"Peck Doran P C","Inverness","Snoqualamish","WA",98215,10000092
138,6669-000,"T-M Service CO","Dogwood","Snoqualamish","WA",98215,10000087
150,7280-000,"Mex Imports","Chant","Snoqualamish","WA",98215,10000116
151,7281-000,"Tafoya Electric","Church View","Snoqualamish","WA",98215,10000088
219,8070-000,"Taylors Liquors","Perkins","Snoqualamish","WA",98215,10000091
221,22403-000,"North Star Liquor","Hunters","Snoqualamish","WA",98215,10000079
224,8087-000,"LA Salle Partners","Sterling Glen","Snoqualamish","WA",98215,10000117
246,8403-000,"Screenplay Video Centers","Archer","Snoqualamish","WA",98215,10000118
248,8415-000,"Willie's Place","Strathmoore","Snoqualamish","WA",98215,10000119
249,8430-000,"Malecall II","Kelsey","Snoqualamish","WA",98215,10000120
255,8561-000,"World Computer Corporation","Yankee","Snoqualamish","WA",98215,10000121
274,8795-000,"Specialty Systems","Wallsend","Snoqualamish","WA",98215,10000089
294,9094-000,"Mercer William M Incorporated","Chatham","Snoqualamish","WA",98215,10000122
295,9122-000,"Sears J L &#38; Associates Real Estate","Fairway","Snoqualamish","WA",98215,10000102
296,9122-000,"Lamar Ventures","Adara","Snoqualamish","WA",98215,10000123
299,9125-000,"Midwest Sales CO","Frank","Snoqualamish","WA",98215,10000124
309,9315-000,"A Flag House","Kim","Snoqualamish","WA",98215,10000132
339,9897-000,"Riley Income Tax Service","Liberty","Snoqualamish","WA",98215,10000125
343,9981-000,"Redding Equipment CO","Vinmar","Snoqualamish","WA",98215,10000126
347,,"Resolution Trust Corp","Hillyer","Snoqualamish","WA",98215,10000127
364,10443-000,"Rains-Flo Packings","Clark-Shaw","Snoqualamish","WA",98215,10000128
374,10672-000,"Weber Management Company","Cross Creek","Snoqualamish","WA",98215,10000080
377,10849-000,"Mr Smith's Restaurant","Robin Hood","Snoqualamish","WA",98215,10000103
388,11398-000,"Academy T V Service","Quarter","Snoqualamish","WA",98215,10000110
398,11476-000,"Pacific Jewelry &#38; Loan CO","Main","Snoqualamish","WA",98215,10000129
418,11682-000,"Mattress Factory The","Olde Dublin Woods","Snoqualamish","WA",98215,10000130
439,11884-000,"Labriola Machine","Meadow Ash","Snoqualamish","WA",98215,
450,11993-000,"World Wide Funding","Maxwell","Snoqualamish","WA",98215,10000090
461,12105-000,"Ollie's Roundup","Banbridge","Snoqualamish","WA",98215,
494,12725-000,"Lingerie Etc","Cuyuga","Snoqualamish","WA",98215,
495,12762-000,"Southwest Radiographics","Rolling Ridge","Snoqualamish","WA",98215,
502,12907-000,"Mile High Lounge","Village Green","Snoqualamish","WA",98215,10000097
511,13070-000,"Omelet House Restaurant","Wallace","Snoqualamish","WA",98215,10000098
513,13079-000,"Wej Management Corp","Red Barn","Snoqualamish","WA",98215,10000093
522,24264-000,"Metro Dishwasher","Lawton","Snoqualamish","WA",98215,
529,13335-000,"Advantage Brokers","Webb","Snoqualamish","WA",98215,
547,14394-000,"Boulder Mtn Overcharge Claim Audit","Mays","Snoqualamish","WA",98215,10000081
629,16462-000,"R L Plimpton Assoc Inc","Lakehurst","Snoqualamish","WA",98215,10000107
651,16625-000,"29th Ave Liquor","Beech Ridge","Snoqualamish","WA",98215,10000075
657,23592-000,"Park Mayfair Home Owners Assoc","Meadow Bend","Snoqualamish","WA",98215,10000099
